Journal,DisciplinesString
revista mexicana de oftalmologia,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revista mexicana de ortodoncia,nauki medyczne
revista mexicana de pediatria,nauki medyczne;nauki o zdrowiu
revista mexicana de sociologia,nauki o zdrowiu;nauki socjologiczne
revista mexicana de trastornos alimentarios,nauki medyczne;nauki o zdrowiu
revista mexicana de urologia,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revista odonto ciencia,nauki medyczne
revista paulista de pediatria,nauki medyczne;nauki o zdrowiu
revista peruana de biologia,inżynieria biomedyczna;nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
revista peruana de medicina experimental y salud publica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revista portuguesa de estudos regionais,architektura i urbanistyka;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki prawne;nauki socjologiczne
revista portuguesa de imunoalergologia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
revista portuguesa de saude publica,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revista romana de cardiologie,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revista tecnica de la facultad de ingenieria universidad del zulia,inżynieria biomedyczna;inżynieria mechaniczna
revista transilvania,archeologia;historia;literaturoznawstwo;nauki o kulturze i religii
revista venezolana de gerencia,"inżynieria środowiska, górnictwo i energetyka;geografia społeczno ekonomiczna i gospodarka przestrzenna"
revista venezolana de oncologia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
revista veterinaria,weterynaria;zootechnika i rybactwo;nauki biologiczne
revmatologiia,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revue archeologique,archeologia
revue archeologique de l'est,archeologia
revue archeologique de picardie,archeologia
revue belge d'archeologie et d'histoire de l'art,archeologia;nauki o sztuce
revue benedictine,nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
revue d etudes augustiniennes et patristiques,nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
revue d'assyriologie et d'archeologie orientale,archeologia;historia;nauki o kulturze i religii
revue de chirurgie orthopedique et traumatologique,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revue de geriatrie,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue de la societe francaise d'histoire des hopitaux,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue de laryngologie otologie rhinologie,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue de l'infirmiere,nauki o zdrowiu
revue de l'ofce,ekonomia i finanse
revue de medecine legale,nauki medyczne;nauki o zdrowiu
revue de micropaleontologie,nauki biologiczne;nauki o ziemi i środowisku
revue de neuropsychologie,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
revue de paleobiologie,nauki biologiczne;nauki o ziemi i środowisku
revue de philosophie ancienne,filozofia;prawo kanoniczne
revue de psychotherapie psychanalytique de groupe,nauki medyczne;nauki o zdrowiu;psychologia
revue de qumran,archeologia;historia;nauki o kulturze i religii;nauki teologiczne
revue de theologie et de philosophie,filozofia;nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
revue d'economie du developpement,ekonomia i finanse;nauki o zarządzaniu i jakości
revue d'economie industrielle,ekonomia i finanse;nauki o zarządzaniu i jakości
revue d'egyptologie,archeologia;historia
revue des etudes anciennes,archeologia;historia;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
revue des etudes byzantines,archeologia;historia;literaturoznawstwo;nauki teologiczne
revue des etudes slaves,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
revue des maladies respiratoires actualites,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revue des sciences de l'eau,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o ziemi i środowisku"
revue des sciences humaines,filozofia;historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
revue d'histoire de la pharmacie,inżynieria biomedyczna;nauki farmaceutyczne;nauki o zdrowiu
revue d'histoire des textes,literaturoznawstwo
revue d'histoire du xixe siecle,historia
revue d'homeopathie,nauki o zdrowiu
revue d'intelligence artificielle,inżynieria biomedyczna;informatyka
revue du podologue,nauki medyczne;nauki o zdrowiu
revue du praticien,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue du rhumatisme (edition francaise),inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revue du rhumatisme monographies,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revue forestiere francaise,nauki leśne
revue francaise d'administration publique,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki o zarządzaniu i jakości
revue francaise de gestion,ekonomia i finanse;nauki o zarządzaniu i jakości
revue francaise de pedagogie,językoznawstwo
revue francaise de photogrammetrie et de teledetection,inżynieria biomedyczna;inżynieria lądowa i transport;informatyka
revue francaise de psychanalyse,nauki medyczne;nauki o zdrowiu;psychologia
revue francaise de psychosomatique,nauki medyczne;nauki o zdrowiu;psychologia
revue francaise de science politique,historia;nauki o bezpieczeństwie;nauki o polityce i administracji
revue francophone d'orthoptie,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
revue francophone internationale de recherche infirmiere,nauki o zdrowiu
revue internationale de criminologie et de police technique et scientifique,nauki o zdrowiu;nauki prawne
revue internationale de droit economique,ekonomia i finanse;nauki prawne
revue internationale de politique comparee,historia;nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
revue internationale de soins palliatifs,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue internationale et strategique,nauki o bezpieczeństwie;nauki o polityce i administracji
revue medicale de bruxelles,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue medicale de liege,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue medicale suisse,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
revue numismatique,archeologia;historia
revue roumaine de geographie,geografia społeczno ekonomiczna i gospodarka przestrzenna
revue sage femme,nauki o zdrowiu
revue thomiste,filozofia;prawo kanoniczne;nauki teologiczne
revue veterinaire clinique,weterynaria;zootechnika i rybactwo
revus,nauki prawne;prawo kanoniczne
rgo,nauki medyczne
rheedea,nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
rheumatologia,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
rhinology supplement,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
rhizosphere,nauki farmaceutyczne;nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
rhode island medical journal (2013),inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
"ribarstvo, croatian journal of fisheries",zootechnika i rybactwo
ricerca e pratica,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ricerca folklorica,literaturoznawstwo;nauki o kulturze i religii
rig kulturhistorisk tidskrift,historia;literaturoznawstwo;nauki o kulturze i religii
rigakuryoho kagaku,nauki medyczne;nauki o zdrowiu
ringing and migration,nauki biologiczne
rinsan shikenj oha journal of the hokkaido forest products research institute,inżynieria materiałowa;nauki leśne
rinsho byori the japanese journal of clinical pathology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
rinsho ketsueki the japanese journal of clinical hematology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
risk and decision analysis,informatyka techniczna i telekomunikacja;ekonomia i finanse;nauki o bezpieczeństwie;nauki o zarządzaniu i jakości;nauki socjologiczne;matematyka
risk management and insurance review,ekonomia i finanse
risti revista iberica de sistemas e tecnologias de informacao,inżynieria biomedyczna;informatyka
rivista degli studi orientali,archeologia;historia;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
rivista di biologia biology forum,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
rivista di cultura classica e medioevale,archeologia;historia;językoznawstwo;literaturoznawstwo
rivista di storia della chiesa in italia,historia;nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
rivista di studi sulla sostenibilita,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o zarządzaniu i jakości"
rivista geographica italiana,architektura i urbanistyka;inżynieria lądowa i transport;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki o ziemi i środowisku
rivista internazionale di scienze sociali,nauki o zdrowiu;ekonomia i finanse;nauki o polityce i administracji;nauki socjologiczne
rivista italiana della medicina di laboratorio,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
rivista italiana della saldatura,inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna
rivista italiana di politiche pubbliche,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki socjologiczne
road and transport research,architektura i urbanistyka;inżynieria lądowa i transport
robomech journal,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;nauki farmaceutyczne;astronomia;informatyka"
rocky mountain geology,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki biologiczne;nauki o ziemi i środowisku"
roczniki filozoficzne,filozofia;prawo kanoniczne
roczniki panstwowego zakladu higieny,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;technologia żywności i żywienia
roczniki psychologiczne,psychologia
rodriguesia,nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
romanian journal of anaesthesia and intensive care,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
romanian journal of communication and public relations,nauki o komunikacji społecznej i mediach
"romanian journal of diabetes, nutrition and metabolic diseases",inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu;nauki biologiczne
romanian journal of neurology revista romana de neurologie,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
romanian journal of ophthalmology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
"romanian review precision mechanics, optics and mechatronics",inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki fizyczne
romanic review,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce;prawo kanoniczne
romanica cracoviensia,językoznawstwo;literaturoznawstwo
romanoarabica,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
rorschachiana,nauki medyczne;nauki o zdrowiu;psychologia
rossijskaja arheologija,archeologia;historia
rossiyskiy vestnik perinatologii i pediatrii,nauki medyczne;nauki o zdrowiu
roumanian archives of microbiology and immunology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
round table,geografia społeczno ekonomiczna i gospodarka przestrzenna
rozhledy v chirurgii,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
ruan jian xue bao journal of software,informatyka techniczna i telekomunikacja;informatyka
rubber world,inżynieria biomedyczna;inżynieria chemiczna;inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne
rudn journal of sociology vestnik rossiiskogo universiteta druzhby narodov seriya sotsiologiya,nauki o zdrowiu;nauki socjologiczne
rural policy brief,nauki medyczne;nauki o zdrowiu
russian aeronautics,inżynieria mechaniczna
russian education and society,nauki socjologiczne;pedagogika
russian electrical engineering,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna"
russian electronic journal of radiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
russian engineering research,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna"
russian entomological journal,nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
russian journal of biological invasions,nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
russian journal of biomechanics,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki o kulturze fizycznej;nauki biologiczne;nauki fizyczne
russian journal of biopharmaceuticals,inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia
russian journal of cardiology,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
russian journal of communication,nauki o komunikacji społecznej i mediach
russian journal of forest science,nauki leśne;rolnictwo i ogrodnictwo;nauki biologiczne
russian journal of genetics: applied research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;technologia żywności i żywienia;zootechnika i rybactwo;nauki biologiczne
russian microelectronics,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;nauki fizyczne"
russian politics and law,nauki o bezpieczeństwie;nauki o polityce i administracji;nauki prawne
russkii zhunal detskoi nevrologii,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
rutgers law review,nauki prawne;prawo kanoniczne
ruthenica,nauki biologiczne
rwanda medical journal,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
rynek energii,"inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki chemiczne"
stp pharma pratiques,nauki farmaceutyczne;nauki medyczne
sa pharmaceutical journal,nauki farmaceutyczne;nauki medyczne
saad digest,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
sacris erudiri,nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
sae technical papers,"automatyka, elektronika i elektrotechnika;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o bezpieczeństwie"
sales and marketing management,nauki o zarządzaniu i jakości
salud (i) sciencia,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
salud uninorte,nauki medyczne;nauki o zdrowiu
salud y drogas,nauki medyczne;nauki o zdrowiu
salus,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
salute e societa,nauki o kulturze i religii;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
sampling theory in signal and image processing,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;nauki medyczne;nauki o zdrowiu;informatyka;matematyka"
samuel beckett today aujourd hui,literaturoznawstwo
san francisco estuary and watershed science,"inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o ziemi i środowisku"
sang thrombose vaisseaux,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
sangyo eiseigaku zasshi = journal of occupational health,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
sankhya: the indian journal of statistics,ekonomia i finanse;nauki o zarządzaniu i jakości;matematyka
sapporo medical journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
sarcoma,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
sats,filozofia;prawo kanoniczne
saudi endodontic journal,nauki medyczne
saudi journal for dental research,nauki medyczne
savings and development,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;nauki socjologiczne"
savoirs et clinique,nauki medyczne;nauki o zdrowiu
"scandinavian journal of clinical and laboratory investigation, supplement",inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
scandinavian journal of information systems,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;nauki o zarządzaniu i jakości;informatyka
"scandinavian journal of work, environment and health, supplement",nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki biologiczne
scandinavian psychoanalytic review,nauki medyczne;nauki o zdrowiu;psychologia
scandinavian psychologist,psychologia
schedae informaticae,informatyka techniczna i telekomunikacja;informatyka
schizophrenia research: cognition,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;psychologia;nauki biologiczne
school library research,nauki o komunikacji społecznej i mediach
schweizer archiv für neurologie und psychiatrie,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
schweizer zeitschrift fur onkologie,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
schweizerische zeitschrift fur forstwesen,nauki leśne
schweizerische zeitschrift fur religions und kulturgeschichte,historia;literaturoznawstwo;nauki o kulturze i religii;prawo kanoniczne
schweizerische zeitschrift fur soziologie revue suisse de sociologie,nauki o zdrowiu;nauki o komunikacji społecznej i mediach;nauki socjologiczne
schweizerische zeitschrift für sportmedizin und sporttraumatologie,inżynieria biomedyczna;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu
science and technology libraries,nauki o komunikacji społecznej i mediach
science of tsunami hazards,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
scientia agraria,nauki farmaceutyczne;rolnictwo i ogrodnictwo
scientia agricultura sinica,rolnictwo i ogrodnictwo
scientia agriculturae bohemica,rolnictwo i ogrodnictwo;technologia żywności i żywienia
scientia geologica sinica,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
"scientia sinica: physica, mechanica et astronomica",inżynieria mechaniczna;astronomia;nauki fizyczne
scientific annals of economics and business,ekonomia i finanse;nauki o zarządzaniu i jakości
scientific journal of king faisal university,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki o zdrowiu;nauki prawne;astronomia;nauki biologiczne;nauki fizyczne
scientific journal of kurdistan university of medical sciences,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
scientific mining journal,"inżynieria lądowa i transport;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
"scientific papers of the university of pardubice, series d: faculty of economics and administration",nauki o zarządzaniu i jakości
scientific review engineering and environmental sciences,"architektura i urbanistyka;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki biologiczne;nauki o ziemi i środowisku"
scientific visualization,informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria lądowa i transport;informatyka
scienze regionali,"architektura i urbanistyka;inżynieria środowiska, górnictwo i energetyka;ekonomia i finanse;geografia społeczno ekonomiczna i gospodarka przestrzenna;nauki socjologiczne"
scms journal of indian management,nauki o zarządzaniu i jakości
scope,literaturoznawstwo;nauki o kulturze i religii
scopus,nauki biologiczne
scrinium,filozofia;literaturoznawstwo;nauki o kulturze i religii;prawo kanoniczne;nauki teologiczne
script and print,literaturoznawstwo;nauki o kulturze i religii;nauki o sztuce
scripta judaica cracoviensia,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii;prawo kanoniczne
sdhm structural durability and health monitoring,inżynieria lądowa i transport
seaisi quarterly (south east asia iron and steel institute),inżynieria materiałowa;inżynieria mechaniczna;nauki chemiczne
second language learning and teaching,językoznawstwo
"secuencia (mexico city, mexico)",nauki o kulturze i religii;nauki socjologiczne
sei technical review,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna"
seibutsu kogaku kaishi,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
seikagaku the journal of japanese biochemical society,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
seimitsu kogaku kaishi journal of the japan society for precision engineering,inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna
seksuologia polska,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki socjologiczne
sel'skokhozyaistvennaya biologiya,nauki farmaceutyczne;rolnictwo i ogrodnictwo;nauki biologiczne
semergen,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
seminars in arthroplasty,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
seminars in hearing,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
seminars in spine surgery,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
sensing and bio sensing research,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria materiałowa;nauki farmaceutyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;informatyka;nauki biologiczne;nauki fizyczne"
sententiae,filozofia;prawo kanoniczne
sentinel event alert joint commission on accreditation of healthcare organizations,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
serangga,rolnictwo i ogrodnictwo;technologia żywności i żywienia;nauki biologiczne
serbian journal of dermatology and venereology,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
serbian journal of electrical engineering,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;informatyka"
serbian journal of experimental and clinical research,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
serials librarian,nauki o komunikacji społecznej i mediach
serie correlacion geologica,inżynieria lądowa i transport;nauki biologiczne;nauki o ziemi i środowisku
series on biomechanics,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;nauki farmaceutyczne;nauki medyczne;nauki o kulturze fizycznej;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki biologiczne
services marketing quarterly,nauki o zarządzaniu i jakości
sestrinski glasnik,nauki o zdrowiu
seton hall law review,nauki prawne
shaman,literaturoznawstwo;nauki o kulturze i religii
shanghai archives of psychiatry,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
shanghai jiaotong daxue xuebao journal of shanghai jiaotong university,"architektura i urbanistyka;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki prawne;informatyka;nauki fizyczne;nauki o ziemi i środowisku"
shanghai kou qiang yi xue = shanghai journal of stomatology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
shanghai ligong daxue xuebao journal of university of shanghai for science and technology,"inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
sheng li ke xue jin zhan [progress in physiology],inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;weterynaria
sheng wu gong cheng xue bao = chinese journal of biotechnology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
shengwu yixue gongchengxue zazhi journal of biomedical engineering,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
shengxue xuebao acta acustica,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;inżynieria mechaniczna;nauki fizyczne"
shenyang gongye daxue xuebao journal of shenyang university of technology,inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna
shenyang jianzhu daxue xuebao (ziran kexue ban) journal of shenyang jianzhu university (natural science),"inżynieria biomedyczna;inżynieria materiałowa;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;nauki medyczne;nauki o zdrowiu;rolnictwo i ogrodnictwo;nauki prawne;nauki biologiczne;nauki fizyczne;nauki o ziemi i środowisku"
shenzhen daxue xuebao (ligong ban) journal of shenzhen university science and engineering,"architektura i urbanistyka;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;informatyka"
shi you lian zhi yu hua gong petroleum processing and petrochemicals,"inżynieria środowiska, górnictwo i energetyka"
shinrigaku kenkyu,psychologia
ship building of china,inżynieria lądowa i transport
shipin kexue food science,nauki farmaceutyczne;rolnictwo i ogrodnictwo;technologia żywności i żywienia
shiraz e medical journal,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
shiyan liuti lixue journal of experiments in fluid mechanics,"inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
shiyou diqiu wuli kantan oil geophysical prospecting,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
shiyou huagong gaodeng xuexiao xuebao journal of petrochemical universities,"inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne"
shiyou huagong shebei petro chemical equipment,"inżynieria środowiska, górnictwo i energetyka;nauki farmaceutyczne"
shiyou huagong petrochemical technology,"inżynieria środowiska, górnictwo i energetyka"
shiyou xuebao acta petrolei sinica,"inżynieria środowiska, górnictwo i energetyka"
shomei gakkai shi,"automatyka, elektronika i elektrotechnika;inżynieria biomedyczna"
showa igakkai zasshi = the journal of the showa medical association,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
shu ju cai ji yu chu li journal of data acquisition and processing,"automatyka, elektronika i elektrotechnika;informatyka techniczna i telekomunikacja;inżynieria biomedyczna;inżynieria mechaniczna;informatyka"
shuikexue jinzhan advances in water science,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;nauki o ziemi i środowisku"
shuili fadian xuebao journal of hydroelectric engineering,"inżynieria lądowa i transport;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo"
shuili xuebao journal of hydraulic engineering,"inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka;rolnictwo i ogrodnictwo;nauki o ziemi i środowisku"
siberian advances in mathematics,matematyka
siberian journal of oncology,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
sichuan daxue xuebao (gongcheng kexue ban) journal of sichuan university (engineering science edition),"inżynieria biomedyczna;inżynieria lądowa i transport;inżynieria mechaniczna;inżynieria środowiska, górnictwo i energetyka"
siglo cero,nauki medyczne;nauki o zdrowiu
significance,ekonomia i finanse;nauki socjologiczne
signo y pensamiento,językoznawstwo
signos filosoficos,filozofia
signos historicos,historia
sigurnost,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki o bezpieczeństwie
sinapse,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
sistema,nauki o zdrowiu;nauki o zarządzaniu i jakości
sistemi intelligenti,"filozofia;językoznawstwo;automatyka, elektronika i elektrotechnika;inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;informatyka;nauki biologiczne"
skase journal of theoretical linguistics,językoznawstwo
skase journal of translation and interpretation,językoznawstwo;literaturoznawstwo
skin research,nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
skin therapy letter,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
skinmed,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu
sklifosovsky journal emergency medical care,inżynieria biomedyczna;nauki medyczne;nauki o zdrowiu
sky journal of linguistics,językoznawstwo
slavia centralis,językoznawstwo;literaturoznawstwo
slavia orientalis,językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
slavic and east european information resources,językoznawstwo;nauki o komunikacji społecznej i mediach
slavica slovaca,historia;językoznawstwo;literaturoznawstwo;nauki o kulturze i religii
slavisticna revija,językoznawstwo;literaturoznawstwo
sleep and hypnosis,nauki medyczne;nauki o zdrowiu
sleep disorders,inżynieria biomedyczna;nauki farmaceutyczne;nauki medyczne;nauki o zdrowiu;nauki biologiczne
